match_id	radiant_team	dire_team	radiant_score	dire_score	radiant_win	radiant_pick	dire_pick
4241768661	TNC  Predator	BOOM  ID	32	19	True	[75,  100,  13,  98,  10]	[71,  9,  78,  93,  27]
4250681556	iG.Vitality	KEEN  GAMING	4	14	False	[76,  27,  38,  114,  103]	[8,  31,  45,  86,  96]
4157520086	Team  Empire	WU  TANG  	29	32	True	[97,  21,  75,  36,  1]	[5,  7,  67,  25,  9]
4169752792	TNC  Predator	EHOME	34	48	False	[68,  106,  84,  25,  41]	[72,  91,  96,  23,  79]
4261365977	Team.  Spirit	Team  Empire	38	15	True	[96,  20,  75,  100,  76]	[38,  50,  101,  63,  121]
4144912599	Team  Aster	Newbee	24	50	False	[23,  45,  31,  88,  67]	[4,  92,  3,  7,  58]
4258683099	INVICTUS  GAMING	Taichi  Gaming	30	9	True	[97,  9,  78,  1,  26]	[27,  101,  44,  96,  31]
4136919260	Natus  Vincere	Espada	17	36	False	[53,  10,  46,  20,  70]	[84,  19,  106,  109,  110]
4137423068	compLexity  Gaming	ROOONS	18	17	True	[84,  46,  25,  27,  6]	[31,  22,  9,  7,  109]
4184101086	Lotac	Fnatic	42	33	True	[75,  36,  84,  41,  106]	[68,  46,  20,  63,  53]
4263270622	Team.  Spirit	Gambit  Esports	19	24	False	[75,  109,  96,  119,  25]	[38,  86,  72,  91,  94]
4159989986	EHOME	Execration.安博电竞	26	11	True	[84,  119,  33,  6,  59]	[112,  67,  56,  9,  23]
4244035812	Afterwave	Team  EVOS	21	37	False	[31,  110,  46,  27,  8]	[2,  3,  101,  10,  59]
4243965680	Ninjas  in  Pyjamas	The  Final  Tribe	25	23	True	[3,  44,  90,  38,  13]	[93,  25,  2,  78,  112]
4137208041	Team  Empire	Natus  Vincere	3	27	False	[99,  90,  71,  10,  53]	[75,  63,  73,  83,  19]
4146428146	Vici  Gaming	INVICTUS  GAMING	29	16	True	[10,  36,  45,  100,  86]	[106,  96,  79,  85,  63]
4254990579	test123	compLexity  Gaming	20	11	True	[106,  12,  110,  31,  16]	[78,  25,  50,  107,  67]
4147097847	Team  Empire	Team.  Spirit	49	36	True	[65,  19,  84,  46,  56]	[36,  6,  104,  21,  64]
4182755577	Team  Secret	Evil  Geniuses	44	11	True	[2,  86,  114,  9,  36]	[25,  109,  84,  49,  107]
4143063290	Team  Empire	Marlerino  eSports  	26	15	True	[97,  21,  111,  95,  45]	[96,  31,  110,  22,  109]
4256452859	Infamous  Young	Infamous  Gaming	9	25	False	[29,  112,  74,  68,  96]	[72,  3,  91,  78,  40]
4145223932	The  Final  Tribe	Gambit  Esports	12	21	False	[19,  45,  9,  119,  84]	[96,  70,  46,  110,  36]
4164131068	Infamous  Gaming	  ROOONS	49	26	True	[74,  114,  3,  33,  12]	[5,  17,  2,  107,  63]
4215949568	Evil  Geniuses	Ninjas  in  Pyjamas	9	29	False	[39,  109,  50,  7,  2]	[3,  12,  90,  96,  49]
4225454337	Team  Secret	Virtus.pro	13	37	False	[50,  86,  19,  109,  27]	[96,  78,  17,  110,  33]
4142115072	Team.  Spirit	Team  Lithium	50	44	True	[90,  42,  63,  100,  104]	[61,  36,  77,  19,  110]
4260507907	PG.Barracx	OG	28	34	False	[27,  19,  41,  101,  98]	[90,  23,  1,  31,  78]
4241746184	Bean  Cake	iG.Vitality	13	36	False	[3,  51,  15,  96,  1]	[31,  9,  80,  103,  41]
4241826060	Newbee.Buff	KEEN  GAMING	10	24	False	[8,  27,  80,  76,  103]	[15,  89,  96,  50,  64]
4244887821	Vici  Gaming	Royal  Never  Give  Up	29	26	True	[41,  86,  96,  15,  110]	[27,  97,  94,  8,  50]
4152905998	Eclipse	INVICTUS  GAMING	29	14	True	[64,  72,  25,  91,  51]	[112,  39,  3,  10,  96]
4145484050	Natus  Vincere	Team  Empire	9	32	False	[53,  6,  112,  17,  2]	[97,  21,  84,  95,  45]
4142936339	TNC  Predator	Team  EVOS	32	11	True	[112,  7,  23,  45,  113]	[36,  83,  119,  95,  19]
4253444370	compLexity  Gaming	test123	43	22	False	[50,  23,  5,  100,  67]	[45,  1,  103,  111,  38]
4137464085	ROOONS	compLexity  Gaming	9	30	False	[5,  106,  25,  36,  12]	[31,  43,  78,  27,  109]
4280054038	EHOME	Team  Root	31	14	True	[34,  38,  23,  31,  27]	[18,  103,  98,  64,  41]
4263024920	Team  Liquid	Natus  Vincere	29	13	True	[82,  57,  78,  90,  59]	[111,  114,  2,  100,  35]
4186304793	Vici  Gaming	Team  Aster	18	23	False	[109,  84,  112,  97,  49]	[63,  45,  3,  78,  10]
4175847706	Team.  Spirit	Bursaspor  Esports	43	18	True	[3,  12,  96,  112,  22]	[5,  17,  72,  91,  2]
4137728286	TEAM  TEAM	compLexity  Gaming	25	31	False	[71,  17,  83,  41,  63]	[3,  49,  33,  27,  12]
4285022497	EHOME	Newbee	24	15	True	[54,  64,  55,  104,  78]	[27,  98,  110,  19,  109]
4163297570	Team.  Spirit	Underdogs	21	4	True	[3,  109,  19,  62,  9]	[74,  84,  102,  7,  95]
4191920420	Team  Secret	Vici  Gaming	17	40	False	[78,  110,  74,  7,  12]	[109,  63,  2,  4,  26]
4162859300	Neon  Esports	INVICTUS  GAMING	29	27	True	[85,  74,  45,  88,  12]	[9,  106,  36,  51,  78]
4255590695	Royal  Never  Give  Up	EHOME	27	33	False	[107,  49,  55,  66,  1]	[41,  64,  38,  114,  85]
4270074153	CDEC  	Newbee.mgb	9	23	False	[26,  39,  85,  109,  97]	[100,  49,  44,  55,  121]
4160729388	Espada	Team  Empire	35	15	True	[5,  9,  59,  106,  62]	[96,  107,  40,  67,  112]
4162986285	CDEC  	INVICTUS  GAMING	34	32	False	[103,  21,  65,  87,  63]	[2,  23,  101,  72,  91]
4169894193	Execration.安博电竞	Team  EVOS	42	39	False	[85,  15,  41,  23,  68]	[36,  50,  88,  12,  61]
4212138293	Fnatic	Gambit  Esports	40	30	True	[5,  113,  33,  36,  120]	[2,  110,  4,  75,  92]
4239821110	paiN  Gaming	16  anos  melhor  idade	27	17	True	[110,  103,  1,  25,  2]	[85,  89,  26,  98,  86]
4244083000	Alliance	OG	31	26	True	[111,  11,  44,  65,  51]	[50,  10,  27,  78,  101]
4244937017	Team  Root	PSG.LGD	15	29	False	[96,  31,  35,  121,  89]	[6,  63,  20,  53,  16]
4239059256	Team.  Spirit	NoPangolier	29	20	True	[50,  44,  78,  121,  49]	[110,  2,  15,  103,  8]
4187752762	JUGGERNAUT  GAMING	BOOM  ID	39	41	True	[2,  12,  112,  84,  9]	[50,  45,  65,  106,  88]
4155083070	Team  Secret	PSG.LGD	30	7	True	[5,  33,  7,  10,  114]	[113,  4,  26,  91,  36]
4166451518	KEEN  GAMING	DeathBringer  Gaming	33	14	True	[112,  6,  27,  46,  63]	[86,  79,  23,  70,  48]
4190155073	paiN  Gaming	Team  Secret	3	26	False	[73,  5,  36,  49,  66]	[84,  63,  10,  19,  98]
4222157122	Ninjas  in  Pyjamas	TNC  Predator	31	8	True	[84,  12,  110,  2,  76]	[5,  96,  106,  67,  63]
4245145923	EHOME	KEEN  GAMING	32	19	True	[109,  103,  41,  50,  86]	[91,  72,  3,  13,  69]
4145701185	Team  Empire	Natus  Vincere	34	17	True	[9,  110,  83,  46,  40]	[112,  10,  65,  70,  19]
4182862149	Vici  Gaming	Alliance	32	21	True	[109,  88,  97,  25,  75]	[110,  80,  106,  78,  66]
4151308610	Admiral  Dota	BOOM  ID	26	53	False	[98,  17,  84,  110,  70]	[53,  77,  21,  61,  63]
4189993287	Virtus.pro	Vici  Gaming	20	37	False	[85,  10,  74,  96,  112]	[72,  36,  88,  25,  91]
4239993154	Infamous  Gaming	Gorillaz-Pride	10	31	False	[96,  50,  86,  47,  48]	[12,  13,  31,  65,  78]
4239962437	Gorillaz-Pride	Infamous  Gaming	12	36	False	[78,  2,  76,  110,  67]	[82,  75,  86,  97,  114]
4244945226	Royal  Never  Give  Up	Vici  Gaming	8	28	False	[27,  97,  76,  85,  67]	[41,  96,  86,  25,  50]
4146092369	paiN    X	compLexity  Gaming	26	10	True	[25,  12,  3,  112,  36]	[31,  17,  78,  91,  72]
4194525523	Infamous  Gaming	Team  Lithium	49	21	True	[120,  7,  3,  49,  9]	[38,  39,  109,  100,  66]
4161407316	EHOME	Avalon	22	15	True	[12,  91,  72,  21,  86]	[63,  77,  3,  45,  88]
4138539349	Team  Liquid	Team  Lithium	27	16	True	[66,  53,  11,  7,  42]	[97,  106,  63,  25,  75]
4158919000	HAPPY  GUYS	Team.  Spirit	32	28	True	[3,  36,  19,  90,  61]	[110,  54,  63,  7,  104]
4221927771	Virtus.pro	Ninjas  in  Pyjamas	24	17	True	[75,  109,  49,  33,  18]	[112,  6,  21,  78,  15]
4139940189	No  Creativity	Team  Empire	31	14	True	[112,  7,  9,  65,  95]	[96,  110,  83,  8,  36]
4155165022	Team  Secret	PSG.LGD	20	4	True	[85,  112,  25,  92,  6]	[48,  23,  3,  88,  45]
4240871777	Natus  Vincere	Team  Empire  Hope	23	33	False	[112,  12,  74,  86,  16]	[85,  27,  97,  1,  78]
4234846563	Alter  Ego	BOOM  ID	18	37	False	[31,  114,  19,  45,  44]	[110,  80,  50,  106,  100]
4263197030	Gambit  Esports	Team.  Spirit	20	43	False	[16,  100,  45,  91,  72]	[31,  44,  2,  121,  25]
4145699174	Espada	Alliance	29	44	False	[5,  19,  106,  7,  49]	[86,  56,  12,  97,  66]
4174348648	Team  EVOS	Tigers	28	61	False	[33,  20,  16,  63,  9]	[25,  72,  84,  91,  86]
4143343974	Newbee	Team  Aster	26	43	False	[6,  17,  53,  88,  36]	[104,  25,  75,  86,  109]
4202850662	Team  Ever	Newbee.Young	43	31	True	[84,  114,  20,  73,  25]	[110,  33,  2,  21,  95]
4153563499	Team  Secret	Signify	36	18	True	[84,  25,  112,  10,  106]	[119,  78,  83,  39,  109]
4193202540	Natus  Vincere	Team  Lithium	36	19	True	[66,  41,  97,  88,  25]	[9,  45,  67,  7,  110]
4212754797	Tigers	Fnatic	5	29	False	[25,  114,  2,  3,  109]	[75,  113,  107,  36,  29]
4167186798	Natus  Vincere	NoPangolier	18	24	False	[84,  63,  78,  5,  22]	[110,  96,  59,  83,  109]
4240750959	Natus  Vincere	Team  Empire  Hope	25	30	False	[112,  10,  86,  23,  16]	[75,  26,  97,  44,  80]
4144718187	Team  EVOS	Tigers	44	32	True	[36,  64,  32,  54,  9]	[75,  45,  33,  107,  19]
4244662641	compLexity  Gaming	borster	41	14	True	[85,  25,  104,  121,  67]	[19,  86,  65,  48,  7]
4162115954	Natus  Vincere	Team  Lithium	29	12	True	[85,  6,  2,  63,  92]	[70,  22,  81,  25,  84]
4262496622	Taichi  Gaming	Newbee	11	26	False	[114,  10,  27,  121,  100]	[1,  45,  97,  50,  19]
4265318763	CDEC  	KG.Luminous	30	15	True	[27,  49,  31,  97,  41]	[109,  13,  38,  100,  86]
4202791281	Newbee.Young	Team  Ever	22	10	True	[79,  96,  5,  97,  8]	[84,  12,  23,  52,  36]
4175780215	Bursaspor  Esports	Team.  Spirit	15	31	False	[7,  10,  111,  36,  65]	[84,  109,  2,  112,  74]
